Roll No.,Name,Number of courses they wish to take,First course preference,Second course preference,Third course preference,Fourth course preference,Fifth course preference,Sixth course preference
22510030,Demi Baldwin,3,MA 603-Nonlinear Analysis with Applications,ME 321-Mechanics of Deformable Bodies,CL 628-Liquid State Theory,MA 624-Partial Differential Equations,ES 415-Nature-inspired Materials Design,HS 649-Public Policy and its Impact Evaluation
22510221,Jaiden Wheeler,2,ES 243-Biology for Engineers,EH 614-Physics of the Lithosphere,ME 636-Fuel Cell and Battery Systems,MSE 310-Physics of Materials,,
19520735,Sydney Khan,2,CL 628-Liquid State Theory,ES 243-Biology for Engineers,MS 404-Neuromarketing,CL 604-Advanced Reaction Engineering,,
23520174,Kendrick Walsh,4,ES 623-Biomolecular Materials Science,EH 617-Advanced Field Techniques in Earth Sciences,ES 243-Biology for Engineers,ES 415-Nature-inspired Materials Design,,
21510520,Leia Hendrix,3,EH 614-Physics of the Lithosphere,MSE 209-Material Thermodynamics and Kinetics,MSE 401-Introduction to Polymer Physics and Processing,MA 603-Nonlinear Analysis with Applications,ES 243-Biology for Engineers,
23520036,Korbyn McCullough,3,ES 623-Biomolecular Materials Science,ES 243-Biology for Engineers,ME 321-Mechanics of Deformable Bodies,ES 415-Nature-inspired Materials Design,CL 604-Advanced Reaction Engineering,
22520898,Hana Powers,2,ES 613-Modern Control Theory,CE 624-River Engineering,CL 221-Chemical Engineering Thermodynamics,MSE 310-Physics of Materials,ES 623-Biomolecular Materials Science,MA 624-Partial Differential Equations
19510887,Sean Mercado,1,MA 624-Partial Differential Equations,MSE 401-Introduction to Polymer Physics and Processing,MS 404-Neuromarketing,MA 603-Nonlinear Analysis with Applications,,
23520523,Mckinley Carlson,3,CH 401-Food Chemistry,HS 643-Indian and Western Cultural Theory,MA 624-Partial Differential Equations,ES 613-Modern Control Theory,,
23510904,Paul Flowers,2,EH 617-Advanced Field Techniques in Earth Sciences,MA 603-Nonlinear Analysis with Applications,ME 321-Mechanics of Deformable Bodies,MS 404-Neuromarketing,HS 649-Public Policy and its Impact Evaluation,ES 623-Biomolecular Materials Science
23510281,Ariya Arnold,1,CL 221-Chemical Engineering Thermodynamics,CL 604-Advanced Reaction Engineering,EH 617-Advanced Field Techniques in Earth Sciences,HS 643-Indian and Western Cultural Theory,EH 614-Physics of the Lithosphere,
23510015,Abraham Morton,4,ME 636-Fuel Cell and Battery Systems,MSE 209-Material Thermodynamics and Kinetics,CL 221-Chemical Engineering Thermodynamics,ES 613-Modern Control Theory,EH 614-Physics of the Lithosphere,
19110504,Mallory Meadows,4,CL 628-Liquid State Theory,HS 643-Indian and Western Cultural Theory,MSE 209-Material Thermodynamics and Kinetics,ES 613-Modern Control Theory,,
